Pre-Prod No.,Date,Weeks Taken (or parts thereof),Age Category,Project Age (Open and Closed),Open or closed,Completion date,Client,Project Description,Category,Raw Code,Works Order,Product Code,Sales Rep,Repeat Job,Machine,Material,Artwork required,Artwork Received,Size of Eyemark,Date Sent on Proof,Proof Approved (Conventional),Proof Approved (Digital),Digital trial sent,Sent on Trial,Trial approved,Revised Artwork After Trialling,"Product Material Colour (tube, jar etc.)",Diameter,Length,Cap_Lid Colour,Cap_Lid Diameter,Cap_Lid Material,Cap_Lid Style,Tube Shoulder colour,Orifice,Other Cap_Lid Info,Comments,Dust Controlled Area,Extrusion requested,Extrusion received,Injection trial requested,Injection trial received,Blowmould trial requested,Blowmould trial received,Masterbatch requested,Masterbatch received,New Mould_ Client or Product,Unit Order No,Order Qty x1000,Ordered Plates,Plates Arrived,Status,Qty_Including Waste,Artwork Order,Due for SAESA,Order,Digital Trial,Foil,Digital Trial No,T1_Date,Retrial T2,Retrial T3,Retrial T4,Retrial T5,Trial Comments
9726_1,,,,0,Closed,,Le-Sel,Strandlooper Barrier Hand and nail (Digital),Digital Laminate,CLAM113LES002W,W0057188,C35LTLES002F (Add),Linda,x,DIGITAL,ABL Silver,,,,,,,,Repeat,Repeat,,ABL Silver,35,123,,,,Ex Client,,4,,,,,,,,,,,,,,,,,,,repeat,x,x,Repeat,,Repeat,,,,,,
9940_1,,,,0,Closed,,Charisma Candles,Poetry Moroccan Fig H & N 100ml (digital),Digital Laminate,CLAM129CHR001W,W0069283,C40LTCHR001F (Add),Rob,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,40,120,,,,,,10,,,,,,,,,,,,,,,,,,,repeat,x,x,Repeat,,Repeat,,,,,,
9941_1,,,,0,Closed,,CHARISMA CANDLES,POETRY VANILLA HAND & NAIL  CREAM 100ML,Digital Laminate,CLAM129CHR000W,W0064588,C40LTCHR000F (Add),Rob,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,40,120,,,,,,10,,,,,,,,,,,,,,,,,,,repeat,x,,Repeat,,Repeat,,,,,,
9942_1,,,,0,Closed,,CHARISMA CANDLES,POETRY FRANGIPANI H&N  CREAM 100ML,Digital Laminate,CLAM129CHR002W,W0064592,C40LTCHR002F (Add),Rob,x,DIGITAL,PBL,,,,,,,,Repeat,Repeat,,PBL,40,120,,,,,,10,,,,,,,,,,,,,,,,,,,repeat,x,,Repeat,,Repeat,,,,,,
TRolls1,,,,0,FALSE,,WT (Clifford Road),Transfer 25 diam ABL rolls to Clifford Road (WT),Digital Laminate,LAM082HUH1337FC,,LAM082HUH1337FC,,x,DIGITAL,ABL White,,,,,,,,Not Req,Repeat,,ABL White,25,-,,,,,,,,,,,,,,,,,,,,,,,,,Internal material,Raw material,Internal,Not Req,,Repeat,,,,,,
TRolls2,,,,0,FALSE,,,,Digital Laminate,LAM113HUH1337FC,,LAM113HUH1337FC,,x,DIGITAL,ABL White,,,,,,,,Not Req,Repeat,,ABL White,35,-,,,,,,,,,,,,,,,,,,,,,,,,,Internal material,Raw material,Internal,Not Req,,Repeat,,,,,,
TRolls3,,,,0,FALSE,,,,Digital Laminate,LAM129HUH1337FC,,LAM129HUH1337FC,,x,DIGITAL,ABL White,,,,,,,,Not Req,Repeat,,ABL White,40,-,,,,,,,,,,,,,,,,,,,,,,,,,Internal material,Raw material,Internal,Not Req,,Repeat,,,,,,
TRolls4,,,,0,FALSE,,,,Digital Laminate,LAM082HUH3001S,,LAM082HUH3001S,,x,DIGITAL,PBL,,,,,,,,Not Req,Repeat,,PBL,25,-,,,,,,,,,,,,,,,,,,,,,,,,,Internal material,Raw material,Internal,Not Req,,Repeat,,,,,,
TRolls5,,,,0,FALSE,,,,Digital Laminate,LAM113HUH30017S,,LAM113HUH30017S,,x,DIGITAL,PBL,,,,,,,,Not Req,Repeat,,PBL,35,-,,,,,,,,,,,,,,,,,,,,,,,,,Internal material,Raw material,Internal,Not Req,,Repeat,,,,,,
TRolls6,,,,0,FALSE,,,,Digital Laminate,LAM129HUH30017S,,LAM129HUH30017S,,x,DIGITAL,PBL,,,,,,,,Not Req,Repeat,,PBL,40,-,,,,,,,,,,,,,,,,,,,,,,,,,Internal material,Raw material,Internal,Not Req,,Repeat,,,,,,
TRolls7,,,,0,FALSE,,,,Digital Laminate,LAM082HUH1337FCSIL,,LAM082HUH1337FCSIL,,x,DIGITAL,ABL Silver,,,,,,,,Not Req,Repeat,,ABL Silver,25,-,,,,,,,,,,,,,,,,,,,,,,,,,Internal material,Raw material,Internal,Not Req,,Repeat,,,,,,
TRolls8,,,,0,FALSE,,,,Digital Laminate,LAM113HUH1337FCSIL,,LAM113HUH1337FCSIL,,x,DIGITAL,ABL Silver,,,,,,,,Not Req,Repeat,,ABL Silver,35,-,,,,,,,,,,,,,,,,,,,,,,,,,Internal material,Raw material,Internal,Not Req,,Repeat,,,,,,
