Pre-Prod No.,Date,Weeks Taken (or parts thereof),Age Category,Project Age (Open and Closed),Open or closed,Completion date,Client,Project Description,Category,Raw Code,Works Order,Product Code,Sales Rep,Repeat Job,Machine,Material,Artwork required,Artwork Received,Size of Eyemark,Date Sent on Proof,Proof Approved (Conventional),Proof Approved (Digital),Digital trial sent,Sent on Trial,Trial approved,Revised Artwork After Trialling,"Product Material Colour (tube, jar etc.)",Diameter,Length,Cap_Lid Colour,Cap_Lid Diameter,Cap_Lid Material,Cap_Lid Style,Tube Shoulder colour,Orifice,Other Cap_Lid Info,Comments,Dust Controlled Area,Extrusion requested,Extrusion received,Injection trial requested,Injection trial received,Blowmould trial requested,Blowmould trial received,Masterbatch requested,Masterbatch received,New Mould_ Client or Product,Unit Order No,Order Qty x1000,Ordered Plates,Plates Arrived,Status,Qty_Including Waste,Artwork Order,Due for SAESA,Order,Digital Trial,Foil,Digital Trial No,T1_Date,Retrial T2,Retrial T3,Retrial T4,Retrial T5,Trial Comments
7929,2011/07/01,112,> 12 Weeks,957,Closed,2013/08/21,J&J,Aqueous Jar 350ml L/Frag Turkey,Jar,,,,Trevor,,KAMMAN,,,,,,,,,,,,,,,,,,,,,,Sample sent 28Jul 14/3/13 mail sent. 4/6/13 Mail sent. 25/7/13 Mail sent  21/8/13 Project closed  Boxed in office .,,,,,,,,,,,,,,,No order,,,,,,,,,,,,,
7930,2011/07/01,17,> 12 Weeks,290,Closed,2011/10/24,J&J,Aqueous Jar 100Ml F/Free Jar,Jar,,,CJAROJAJ201F,Trevor,,,,,,,,,,,,,,,,,,,PP,0,,,,Sample sent 3 Aug,,,,,,,,,,,83774,22000,,,Order,,,,,,,,,,,,,
7931,2011/07/01,113,> 12 Weeks,965,Closed,2013/08/29,J&J,Baby Powder 50 Gm B/Time P/Proof Bott,Mould list (1 series),,,,Trevor,,TRIAL APPRVD Hk,,,,,,,,,,30.10.12,,,,,,,,,,,,Awtg artwork,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
7932,2011/07/01,85,> 12 Weeks,768,Closed,2013/02/13,J&J,Baby Powder 100 Gm B/Time P/proof Bott,Mould,,,C0100JAJ052F,Trevor,,KAMMAN,,,08/06/2012,,2012/07/10,2012/07/09,,,2013/02/11,29.08.12,,,,,,,,,,,,Do trial .29/10 Ian.F to sign off rediness review.,,,,,,,,,,,95588,0,2012/07/10,,Order,,,,,,,,,,,,,
7933,2011/07/01,66,> 12 Weeks,368,Closed,2012/10/01,J&J,Baby Powder 200Gm B/Time P/Proof Bott,Bottle,,,C0200JAJ068F,Trevor,,TRIAL APPRVD Kamman,,,08/06/2012,,2012/07/10,2012/07/09,,,2012/12/30,2012/08/01,,,,,,,,,,,,Do trial,,,,,,,,,,,,32000,2012/07/10,,Order,,,,,,,,,,,,,
7934,2011/07/01,66,> 12 Weeks,368,Closed,2012/10/01,J&J,Baby Powder 400Gm B/Time P/Proof Bott,Bottle,,,C40TBJUS090F,Trevor,,TRIAL APPRVD Kamman,,X,08/06/2012,,2012/07/10,2012/07/09,,,2012/09/06,10.09.12,,,35,,,,,,,,,Do trial,,,,,,,,,,,91780,20000,2012/07/10,,Order (a/w),,,,,,,,,,,,,
7935,2011/07/01,5,< 6 Weeks,32,Closed,2011/08/02,SH'ZEN,Vanilla Cashmere Body Crm 75Ml T&C Coex prl crm 38 B/On P Crm,Tube,,,C40TBSHZ060F,Mark K,,,COEX,,,,,,,,,,,,40,90,prl cream,38,38F/T B/O (4mm Orifice) (ADVANCE150),38 F/T B/O,Natural,10,38 B/On Prl Cream,Awtg new artwork ex J&J,,,,,,,,,,,81773,12000,,,Order,,,,,,,,,,,,,
7936,2011/07/01,5,< 6 Weeks,32,Closed,2011/08/02,SH'ZEN,Vanilla cashmere Cleans Gel 100Ml T&C Coex Prl Crm 38 B/On Prl Crm,Tube,,,CCAP3SHZ020W,Mark K,,,COEX,,,,,,,,,,,,40,120,prl cream,38,38F/T B/O (4mm Orifice) (ADVANCE150),38 F/T B/O,,10,38 B/On Prl Cream,Awtg new artwork ex J&J,,,,,,,,,,,81774,12000,,,Order,,,,,,,,,,,,,
7937,2011/07/04,4,> 12 Weeks,110,Closed,2011/07/26,Nimue Skin,Nimue Man Hydrate Hydro Balance 100ml T&C Coex Brown 40 F/T brown,Tube,,,,Jayne,,,COEX,,,,,,,,,,,,40,120,Brown,40,40FT (PP H707_12),F/T,,8,40 Flip Brown,Awtg new artwork ex J&J,,,,,,,,,,,,0,,,Order,,,,,,,,,,,,,
7938,2011/06/07,5,< 6 Weeks,1,Closed,2011/07/07,Inco Labs,One & All Hand Cream 250Ml T&C Ld lt pink 48 B/On nat,Tube,,,C50TBINC063F,Linda,,,COEX,,,,,,,,,,,,50,180,Nat,48,48F/T B/O (4mm Orifice) (PP H713_06),48 F/T B/O,,10,48 B/On Nat,Awtg new artwork ex J&J,,,,,,,,,,,81558,5000,,,Order,,,,,,,,,,,,,
7939,2011/07/04,7,> 12 Weeks,131,Closed,2011/08/16,SH'ZEN,Energising Sh/Gel 200Ml Belle T&C Coex prl Blue 48B/On Prl Blue,Tube,,,CCAP4SHZ021W,Mark K,,,COEX,,,,,,,,,,,,50,160,Prl Blue,48,48F/T B/O (4mm Orifice) (PP H713_06),48 F/T B/O,,10,48 B/On Prl Blue,Awtg new artwork ex J&J,,,,,,,,,,,81779,10000,,,Order,,,,,,,,,,,,,
7940,2011/07/04,7,> 12 Weeks,131,Closed,2011/08/16,SH'ZEN,Energising Sh/Gel 75Ml Belle T&C Coex prl Blue 38B/On Prl Blue,Tube,,,CCAP3SHZ021W,Mark K,,,COEX,,,,,,,,,,,,40,90,Prl Blue,38,38F/T B/O (4mm Orifice) (ADVANCE150),38 F/T B/O,,10,38 B/On Prl Blue,Awtg new artwork ex J&J,,,,,,,,,,,81784,10000,,,Order,,,,,,,,,,,,,
7941,2011/07/04,9,> 12 Weeks,146,Closed,2011/08/31,SH'ZEN,Perfumed Crm Body 40Ml T&C Belle Coex prl Blue 33 B/On Prl Blue,Tube,,,CCAP3SHZ022W,Mark K,,,COEX,,,,,,,,,,,,35,85,Prl Blue,33,PP,F/T B/O,,10,33 B/On Prl Blue,Awtg new artwork ex J&J,,,,,,,,,,,81807,10000,,,Order,,,,,,,,,,,,,
7942,2011/07/04,2,> 12 Weeks,97,Closed,2011/07/13,,Tube & Cap Tinted Wh  38 B/On Tint wh Fuji,Tube,,,,Trevor,,,LDPE,,,,,,,,,,,,40,120,TnT Wh,38,38F/T B/O (4mm Orifice) (ADVANCE150),38 F/T B/O,,10,38 B/On TnT Wh Fuji,Awtg new artwork ex J&J,,,,,,,,,,,,0,,,Order,,,,,,,,,,,,,
7943,2011/07/04,6,> 12 Weeks,184,Closed,2011/08/10,Britec Labs,OSH TnT Pink Cap,Cap,,,CCAPOBRI058F,Andrew,,,,,,,,,,,,,,,,,,,,,,,,Awtg new artwork ex J&J,,,,,,,,,,,82504,10000,,,Order,,,,,,,,,,,,,
7944,2011/07/05,9,> 12 Weeks,116,Closed,2011/08/31,Bowler JHB,Tube 35x175/6 ABL White Unptd,Digital Laminate,,,,Linda,,,ABL,,,,,,,,,,,,35,175,,,,,,6,,Awtg new artwork ex J&J,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
7945,2011/07/05,9,> 12 Weeks,116,Closed,2011/08/31,Avroy Shlain,Tube 40X 120/8 PBL White Unptd,Digital Laminate,,,,Linda,,,PBL,,,,,,,,,,,,40,120,,,,,,8,,Awtg new artwork ex J&J,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
7946,2011/07/05,9,> 12 Weeks,116,Closed,2011/08/31,Inco Labs,Tube 35X90/4m PBL White Unptd,Digital Laminate,,,,Linda,,,PBL,,,,,,,,,,,,35,90,,,,,,4,,Awtg new artwork ex J&J,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
7947,2011/07/05,9,> 12 Weeks,116,Closed,2011/08/31,Inco Labs,Tube 40X 120/8 PBL White Unptd,Digital Laminate,,,,Linda,,,PBL,,,,,,,,,,,,40,120,,,,,,8,,Awtg new artwork ex J&J,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
7948,2011/07/05,2,612 Weeks,69,Closed,2011/07/15,Prime Products,Ultrasun Water Resit Lotion SPF40 T&C Coex Met Yell 48 B/On M Yell Fuji,Tube,,,C50TBJUS116F,Linda,,,COEX,,,,,,,,,,,,50,120,Met Yell,48,48F/T B/O (4mm Orifice) (PP H713_06),48 F/T B/O,,10,48 B/On Met yel Fuji,Awtg new artwork ex J&J,,,,,,,,,,,81795,9700,,,Order,,,,,,,,,,,,,
7949,2011/07/06,17,> 12 Weeks,141,Closed,2011/10/26,LeSel,Tissue Oil Skin Repair F/Crm SPF20 50ML T&C Coex prl Wh 33 B/on Prl wh emb Fuji,Tube,,,C35TBJUS081F,Linda,,,COEX,,,,,,,,,,,,35,100,White,33,PP,F/T B/O,,10,33 B/On Prl Wh Emb Fuji,Awtg new artwork ex J&J,,,,,,,,,,,83085,20000,,,Order,,,,,,,,,,,,,
7950,2011/07/05,11,> 12 Weeks,129,Closed,2011/09/13,LeSel,Tissue Oil Nourish Body Prot 150Ml T&C Coex Prl Wh 38B/On Prl wh emb fug,Tube,,,CCAP3JUS061W,Linda,,,COEX,,,,,,,,,,,,40,160,White,38,38F/T B/O (4mm Orifice) (ADVANCE150),38 F/T B/O,,10,38 B/On Prl Wh Emb Fuji,Awtg new artwork ex J&J,,,,,,,,,,,83083,20000,,,Order,,,,,,,,,,,,,
7951,2011/07/05,65,> 12 Weeks,248,Closed,2012/10/01,J&J,Baby Powder 50gm P/Proof Bott,Bottle,,,C0050JAJ093F,Trevor,,TRIAL APPRVD Kamman,,,,,,,,,2012/08/30,03.09.12,,,,,,,,,,,,Plates arrived job to be trialed on new mould when mould signed off,,,,,,,,,,,93111,5000,,2012/06/01,Order,,,,,,,,,,,,,
7952,2011/07/05,73,> 12 Weeks,565,Closed,2012/11/22,J&J,Baby Powder 100 Gm P/Proof Bott,Mould,,,C0100JAJ051F,Trevor,,TRIAL APPRVD Kamman,,X,,,,,,,2012/08/01,03.08.12,,,,,,,,,,,,Plates arrived job to be trialed on new mould when mould signed off.29/10 No oredrs for new 100g,,,,,,,,,,,,0,,2012/06/01,No order (a/w),,,,,,,,,,,,,
7953,2011/07/05,65,> 12 Weeks,248,Closed,2012/10/01,J&J,Baby Powder 200 Gm P/Proof Bott,Bottle,,,C0200JAJ067F,Trevor,,TRIAL APPRVD Kamman,,X,,,,,,,2012/08/20,22.08.12,,,,,,,,,,,,Plates arrived. Job to be trialed,,,,,,,,,,,91751,30000,,2012/06/01,Order (a/w),,,,,,,,,,,,,
7954,2011/07/05,73,> 12 Weeks,565,Closed,2012/11/22,J&J,Baby Powder 250 Gm P/Proof Bott (on hold),Mould,,,,Trevor,,KAMMAN,,X,,,,,,,,,,,,,,,,,,,,Awtg new artwork ex J&J + mould.,,,,,,,,,,,,0,,2012/06/01,No order (a/w),,,,,,,,,,,,,
7955,2011/07/05,61,> 12 Weeks,481,Closed,2012/08/30,J&J,Baby Powder 400 Gm P/Proof Bott,Bottle,,,C0400JAJ067F,Trevor,,TRIAL APPRVD Kamman,,X,,,,,,,,,,,,,,,,,,,,Plates arrived. Job to be trialed,,,,,,,,,,,91524,5000,,2012/06/01,Order (a/w),,,,,,,,,,,,,
7956,2011/07/05,73,> 12 Weeks,565,Closed,2012/11/22,J&J,Baby Powder 500 Gm P/Proof Bott (on hold),Mould,,,,Trevor,,KAMMAN,,,,,,,,,,,,,,,,,,,,,,Awtg new artwork ex J&J + mould.,,,,,,,,,,,,0,,,Order,,,,,,,,,,,,,
7957,2011/07/06,4,< 6 Weeks,0,Closed,2011/08/02,Environ Skin Care,Environ Cleansing Gel 100Ml T&C LLD Wh 38 B/On Wh Fuji,Tube,,,C40TBENV018F,Mark K,,,LLDPE,,,,,,,,,,,,40,130,White,38,38F/T B/O (4mm Orifice) (ADVANCE150),38 F/T B/O,,10,38 B/On Wh Fuji,Address Change,,,,,,,,,,,81321,10000,,,Order,,,,,,,,,,,,,
7958,2011/07/06,6,> 12 Weeks,123,Closed,2011/08/10,SH'ZEN,Perfecting Crm SPF30 For Hands 75Ml T&C coex wh 38 B/On Peach,Tube,,,C40TBSHZ064F,Mark K,,DUBUIT+EXTRU,COEX,,,,,,,,,,,,40,100,Peach,38,38F/T B/O (4mm Orifice) (ADVANCE150),38 F/T B/O,,10,38 B/On Peach,Samples sent 29Jul,,,,,,,,,,,81819,10000,,,Order,,,,,,,,,,,,,
7959,2011/07/06,6,> 12 Weeks,123,Closed,2011/08/10,SH'ZEN,Perfecting Sugar Scrub For Hands 100Ml T&C Coex Wh 38 B/On Peach,Tube,,,C40TBSHZ065F,Mark K,,,COEX,,,,,,,,,,,,40,130,Peach,38,38F/T B/O (4mm Orifice) (ADVANCE150),38 F/T B/O,,10,38 B/On Peach,Samples sent 29Jul,,,,,,,,,,,81814,10000,,,Order,,,,,,,,,,,,,
7960,2011/07/07,7,612 Weeks,48,Closed,2011/08/24,LeeChem,Julienne Creme Bleach 50Ml T&C LD Wh 30A Pink(Gloss Lacquer),Tube,,,CCAP3LEE002W,Andrew,,,LDPE,,,,,,,,,,,,30,110,Pink,30,30A (15/30),30A (PP H510_02),,4,30 A Pink,Samples sent 16Aug,,,,,,,,,,,81828,5000,,,Order,,,,,,,,,,,,,
7961,2011/07/07,7,612 Weeks,48,Closed,2011/08/24,LeeChem,Julienne Activator Crm 50Ml T&C Ld Wh 30 A Wh(Gloss Lacquer),Tube,,,C30TBLEE001F,Andrew,,,LDPE,,,,,,,,,,,,30,110,White,30,30A (15/30),30A (PP H510_02),,4,30 A White,Samples sent 16Aug,,,,,,,,,,,81829,5000,,,Order,,,,,,,,,,,,,
7962,2011/07/06,9,< 6 Weeks,2,Closed,2011/09/06,,Toilet Duck Bottle 500Ml Forest Fresh,Bottle,,,,Jayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
7963,2011/07/06,9,< 6 Weeks,2,Closed,2011/09/06,,Toilet Duck Bottle 500ml Fizzy Lime,Bottle,,,,Jayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
7964,2011/07/07,91,> 12 Weeks,578,Closed,2013/04/02,SH'ZEN,Belle Orchidee colour only at this stage,Tube,,,,Mark K,,,COEX,,,,,,,,,,,,40,90,,,,,,10,,Samples given 5Aug 14/3/13 mail sent (sample in the back room),,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
7965,2011/07/11,10,< 6 Weeks,0,Closed,2011/09/13,Icon Hair Cosm.,Mint Mask Tube Ld  Rubine Red 48B/On Wh,Tube,,,C50TBICO004F,Riaan,,,LDPE,,,,,,,,,,,,50,160,White,48,48F/T B/O (4mm Orifice) (PP H713_06),48 F/T B/O,,10,48 B/On Wh,Samples sent 5Sep,,,,,,,,,,,82423,5000,,,Order,,,,,,,,,,,,,
7966,2011/07/14,4,< 6 Weeks,0,Closed,2011/06/18,Creighton Prod.,Venus 400Ml Bott cyan blue (DBN),Bottle,,,,Arthur,,DBN,,,,,,,,,,,,,,,,,,,,,,To be done in Dbn,,,,,,,,,,,81943,10000,,,Order,,,,,,,,,,,,,
7967,2011/07/14,4,> 12 Weeks,86,Closed,2011/08/10,SH'ZEN,Bella Orchidee Tapered Jar & Lid Prl Blue,Jar,,,CJARSSHZ002F,Mark K,,,,,,,,,,,,,,,,,,,,,,,,Samples given29Jul,,,,,,,,,,,81951,15000,,,Order,,,,,,,,,,,,,
7968,2011/07/15,1,< 6 Weeks,3,Closed,2011/07/18,,Biobalance Gel 75Ml T&C Ld Grey 33 B/On Grey Fuji,Tube,,,C35TBATK003F,Trevor,,,LDPE,,,,,,,,,,,,35,120,Dk Grey,33,PP,F/T B/O,,10,33 B/On Dk Grey Fuji,Add foil seal only,,,,,,,,,,,81957,10000,,,Order,,,,,,,,,,,,,
7969,2011/07/15,1,< 6 Weeks,3,Closed,2011/07/18,,Biobalance Lip Gel 10Ml Foil seal T&C Ldpe grey 22A grey,Tube,,,C22TBATK003F,Trevor,,,LDPE,,,,,,,,,,,,22,70,Dk Grey,22,22A (PP H510_02),22A S/O (11/22),,2,22 A Dk Grey,Add foil seal only,,,,,,,,,,,81954,10000,,,Order,,,,,,,,,,,,,
7970,2011/07/18,9,612 Weeks,57,Closed,2011/09/13,J&J,Body Wash & Lotion 200Ml Bott Minor axis Change,Bottle,,,C0200JAJ071F,Trevor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,Order,,,,,,,,,,,,,
7971,2011/07/18,5,< 6 Weeks,30,Closed,2011/08/17,J&J,Body Wash & Lotion 400Ml Bott Minor axis Change,Bottle,,,C0400JAJ034F,Trevor,,,,,,,,,,,,,,,,,,,,,,,,5 varieties,,,,,,,,,,,various,100000,,,Order,,,,,,,,,,,,,
7972,2011/07/19,5,< 6 Weeks,31,Closed,2011/08/19,LeSel,Skin Care Basic Care rad Gel 50Ml T&C Coex Lilac 33B/On Tnt Lilac,Tube,,,C35TBJUS080F,Linda,,,COEX,,,,,,,,,,,,35,100,TnT Lilac,33,PP,F/T B/O,,10,33 B/On Tnt Lilac,Address Change,,,,,,,,,,,81994,5000,,,Order,,,,,,,,,,,,,
7973,2011/07/18,5,< 6 Weeks,32,Closed,2011/08/19,LeSel,Carpe Diem Aftershave Balm 50 Ml T&C Coex green 30 A Green,Tube,,,C30TBJUS053F,Linda,,,COEX,,,,,,,,,,,,30,110,Green,30,30A (15/30),30A (PP H510_02),,4,30 A Green,Address Change,,,,,,,,,,,81997,20800,,,Order,,,,,,,,,,,,,
7974,2011/07/19,10,612 Weeks,64,Closed,2011/09/21,LeSel,Col. Studio Rad Tnt Moist SPF20 50Ml T&C Coex Prl Red 30A Prl Red,Tube,,,C30TBJUS054F,Linda,,,COEX,,,,,,,,,,,,30,110,Prl Red,30,30A (15/30),30A (PP H510_02),,4,30 A Prl Red,Address Change,,,,,,,,,,,82047,10000,,,Order,,,,,,,,,,,,,
7975,2011/07/19,5,< 6 Weeks,31,Closed,2011/08/19,LeSel,Oil Cont. Spot Clearing Gel 20Ml T&C Coex Tnt Blue 22 A Tnt Blue,Tube,,,C22TBJUS029F,Linda,,,COEX,,,,,,,,,,,,22,90,TnT Blue,22,22A (PP H510_02),22A S/O (11/22),,2,22 A Tnt Blue,Address Change,,,,,,,,,,,82045,10000,,,Order,,,,,,,,,,,,,
7976,2011/07/20,5,< 6 Weeks,28,Closed,2011/08/17,SH'ZEN,Vanilla Cashmere Cocoon Body Crm 150Ml T&C coex Prl Crm 48B/On P Crm,Tube,,,C50TBSHZ064F,Mark K,,,COEX,,,,,,,,,,,,50,130,prl cream,48,48F/T B/O (4mm Orifice) (PP H713_06),48 F/T B/O,,10,48 B/On Prl Crm,samples Sent 11Aug,,,,,,,,,,,82218,10000,,,Order,,,,,,,,,,,,,
7977,2011/07/20,5,< 6 Weeks,29,Closed,2011/08/18,SH'ZEN,Vanilla Cashmere Cleans Gel 200Ml T&C Coex Prl Crm 48 B/On Prl Crm,Tube,,,CCAP4SHZ022W,Mark K,,,COEX,,,,,,,,,,,,50,160,prl cream,48,48F/T B/O (4mm Orifice) (PP H713_06),48 F/T B/O,,10,48 B/On Prl Crm,samples Sent 11Aug,,,,,,,,,,,82215,10000,,,Order,,,,,,,,,,,,,
7978,2011/07/21,50,> 12 Weeks,261,Closed,2012/07/04,Natures Touch,Brown T&C 50 Ml coex Brown Laq only 33 B/On Black,Tube,,,C35TBNAT017F,Riaan,,,COEX,,,,,,,,,,,,35,90,Black,33,PP,F/T B/O,,10,33 B/On Black,samples Sent 11AugMat change 238 (Label job  order has been fulfilled)  labels given to Rodney,,,,,,,,,,,82229,16500,,,Order,,,,,,,,,,,,,
7979,2011/07/22,49,> 12 Weeks,340,Closed,2012/06/26,Cipla,Sloanes Heat Rub 35G T&C Foil Seal ABL lam wh F/seal 25A Wh,Digital Laminate,,,,Andrew,,,ABL,,,,,,,,,,,,25,110,White,25,25A (PP H510_02),25A (11/25),,4,25 A White,Samples given to Andy 25Jul (Failed stability  close),,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
7980,2011/07/22,3,612 Weeks,78,Closed,2011/08/10,Zeta Laboratories,Clarity Clear 75Ml T&C LD? Nat 35A Nat,Tube,,,,Andrew,,,,,,,,,,,,,,,35,120,Nat,35,35A (PP H510_02),35A (15/35),,10,35 A Nat,Samples given to Andy 25Jul,,,,,,,,,,,,0,,,Order,,,,,,,,,,,,,
7981,2011/07/26,,> 12 Weeks,0,Closed,Cancel/Boxed,Chet Chemicals,Regular Crystal 1KG BottLabelled,Bottle,,,,Denver,,,,,,,,,,,,,,,,,,,,,,,,In tub with 7966 (Look for tub),,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
7982,2011/07/26,,> 12 Weeks,0,Closed,Cancel/Boxed,Chet Chemicals,Ruby Crystal 1 KG BottLabelled,Bottle,,,,Denver,,,,,,,,,,,,,,,,,,,,,,,,In tub with 7966 (Look for tub),,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
7983,2011/07/26,6,< 6 Weeks,36,Closed,2011/08/31,,Prelude Acrylic Paint 75Ml T&C,Tube,,,C35TBZEL000F,Trevor,,,LDPE,,,,,,,,,,,,35,120,White,35,35A (PP H510_02),35A (15/35),,6,35 A White,Samples Sent 16Aug,,,,,,,,,,,82398,5000,,,Order,,,,,,,,,,,,,
7984,2011/07/28,7,612 Weeks,47,Closed,2011/09/13,Icon Hair Cosm.,Silk Treatment Conditioner 200Ml T&C LD Rubine Red 48 B/On Wh,Tube,,,C50TBICO005F,Riaan,,,LDPE,,,,,,,,,,,,50,160,White,48,48F/T B/O (4mm Orifice) (PP H713_06),48 F/T B/O,,10,48 B/On Wh,Samples sent 5Sep,,,,,,,,,,,41878,5000,,,Order,,,,,,,,,,,,,
7985,2011/07/28,6,< 6 Weeks,0,Closed,2011/09/06,,Rubine Red 50Ml T&C Ld Rubine Red 33B/On White Laquer only,Tube,,,,Riaan,,,LDPE,,,,,,,,,,,,35,90,Rub Red,33,PP,F/T B/O,,10,33 B/On Rub Red,,,,,,,,,,,,,0,,,Order,,,,,,,,,,,,,
7986,2011/07/29,5,< 6 Weeks,33,Closed,2011/08/31,Bowler DBN,Venus Cap Bronze,Cap,,,CCAPSREV000F,Arthur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82588,10000,,,Order,,,,,,,,,,,,,
7987,2011/07/29,28,> 12 Weeks,401,Closed,2012/02/09,Prime Products,Pure Feet Pep Oil Int heel Soft Crm 100Ml T&C PBL Wh 38B/On Wh,Digital Laminate,,,C40LTAVR746F,Linda,,,PBL,,,,,,,,,,,,40,120,White,38,38F/T B/O (4mm Orifice) (ADVANCE150),38 F/T B/O,,10,38 B/On White,Samples sent 23Aug,,,,,,,,,,,87202,10200,,,Order,,,,,,,,,,,,,
7988,2011/08/01,28,> 12 Weeks,603,Closed,2012/02/09,CT Toiletry Co,WW Classic Hand Cream 100ml LD Purple or green T&C Ld wh,Tube,,,,Mark K,,,LDPE,,,,,,,,,,,,40,135,,,,,,4,,doneSent 11Augcol change 0510,,,,,,,,,,,,0,,,No order,,,,,,,,,,,,,
7989,2011/08/01,6,> 12 Weeks,152,Closed,2011/09/06,LeSel,WW Ingred. Van&Brn Sugar H/Mask 75Ml T&C Ld Nat 38 B/On Nat,Tube,,,C40TBWOO345F,Linda,,,LDPE,,,,,,,,,,,,40,90,Nat,38,38F/T B/O (4mm Orifice) (ADVANCE150),38 F/T B/O,,10,38 B/On Nat,samples sent 29Aug,,,,,,,,,,,82499,10000,,,Order,,,,,,,,,,,,,
7990,2011/08/01,6,> 12 Weeks,152,Closed,2011/09/06,LeSel,WW Olive And Argon Hand Mask 75 ML T&C LD Nat 38 F/T Nat,Tube,,,C40TBWOO346F,Linda,,,LDPE,,,,,,,,,,,,40,90,Nat,38,38F/T B/O (4mm Orifice) (ADVANCE150),38 F/T B/O,,10,38 B/On Nat,samples sent 29Aug,,,,,,,,,,,82500,10000,,,Order,,,,,,,,,,,,,
7991,2011/08/01,10,> 12 Weeks,153,Closed,2011/10/06,LeSel,Delirious Perfumed Body Crm 200ML T&C Coex Wh 48B/On Nat,Tube,,,C50TBJUS120F,Linda,,,COEX,,,,,,,,,,,,50,160,Nat,48,48F/T B/O (4mm Orifice) (PP H713_06),48 F/T B/O,,10,48 B/On Nat,Samples sent 06Sep,,,,,,,,,,,84153,10000,,,Order,,,,,,,,,,,,,
7992,2011/08/01,13,> 12 Weeks,289,Closed,2011/10/24,LeSel,Wisteria Perfumed Body Crm 200ML T&C Coex Wh 48 B/On Nat,Tube,,,C50TBJUS121F,Linda,,,COEX,,,,,,,,,,,,50,160,Nat,48,48F/T B/O (4mm Orifice) (PP H713_06),48 F/T B/O,,10,48 B/On Nat,Samples Sent 12Oct,,,,,,,,,,,84158,10000,,,Order,,,,,,,,,,,,,
7993,2011/08/03,5,> 12 Weeks,93,Closed,2011/09/06,Prime Products,Pure Foot Lotion 125Ml T&C PBL Lam Wh 38S/On White,Digital Laminate,,,C40LTAVR000F,Linda,,,PBL,,,,,,,,,,,,40,140,White,38,38F/T B/O (4mm Orifice) (ADVANCE150),38 F/T B/O,,6,38 S/On White,Samples sent 23Aug,,,,,,,,,,,81284,10000,,,Order,,,,,,,,,,,,,
7994,2011/08/03,5,> 12 Weeks,93,Closed,2011/09/06,Prime Products,Pure Feet Rough Skin Remover 125Ml T&C PBL Lam Wh 38 S/On Wh,Digital Laminate,,,C40LTAVR001F,Linda,,,PBL,,,,,,,,,,,,40,140,White,38,38F/T B/O (4mm Orifice) (ADVANCE150),38 F/T B/O,,6,38 B/On White,Samples sent 23Aug,,,,,,,,,,,81147,15000,,,Order,,,,,,,,,,,,,
7995,2011/08/03,13,> 12 Weeks,232,Closed,2011/10/26,LeSel,Tissue Oil 75Ml Nour. Body Protect T&C Coex prl wh 33 B/On prl wh emb Fuji,Tube,,,CCAP3JUS056W,Linda,,,COEX,,,,,,,,,,,,35,120,Prl Wh,33,PP,F/T B/O,,10,33 B/On Prl Wh Emb Fuji,Samples Sent 12Oct,,,,,,,,,,,84049,16000,,,Order,,,,,,,,,,,,,
7996,2011/08/03,12,> 12 Weeks,230,Closed,2011/10/24,LeSel,Tissue Oil 50Ml Nour Bod Wash T&C Coex Prl Wh 33 B/On Prl Wh emb Fuji,Tube,,,C35TBJUS084F,Linda,,,COEX,,,,,,,,,,,,35,100,Prl Wh,33,PP,F/T B/O,,10,33 B/On Prl Wh Emb Fuji,Samples Sent 12Oct,,,,,,,,,,,84145,16000,,,Order,,,,,,,,,,,,,
7997,2011/08/03,46,> 12 Weeks,468,Closed,2012/06/18,J&J,Johnson's Baby Soft Cream 200Ml T&C Ld Pink 48 B/On Pink,Tube,,,C50TB150J56W,Trevor,,HK,LDPE,,,,,,,,,,,Pink,50,160,Pink,48,48F/T B/O (4mm Orifice) (PP H713_06),48 F/T B/O,,10,48 B/On Pink,Did trial ordered solid flag (converted from halftone)  client happy but wants to see matt lacquer,,,,,,,,,,,88722,12000,,,Order,,,,,,,,,,,,,
7998,2011/08/04,4,> 12 Weeks,145,Closed,2011/08/31,CT Toiletry Co,Mango & Passion Bod Lot 200Ml T&C Labelled Ld Wh 48 B/On Black,Tube,,,C50TBTCT018F,Mark K,,,LDPE,,,,,,,,,,,,50,151,Black,48,48F/T B/O (4mm Orifice) (PP H713_06),48 F/T B/O,,10,48 B/On Black,,,,,,,,,,,,82597,2500,,,Order,,,,,,,,,,,,,
